Run,RelativePath,SizeBytes,SizeMB,SHA256,Copied,PublicPath,Note
M2_amp4_r0p5625,train\M2_fourier4_amp4_net4x100_seen9_ic7500_pde115000\forward_pinn.pt,135998,0.13,AC6CFA1D1FB4834D59C2368F1D72E9B5BFA4A04EDAA11C1CE34CF086F76CF0D0,False,,Manifest only
M3_amp4_r0p21875,train\M3_fourier4_amp4_net4x100_seen14_ic7500_pde115000\forward_pinn.pt,136638,0.13,6588203790F043BDC6AAE8A59C99C034C284B384EAB09C7970416C2121D61A45,False,,Manifest only
M4_amp4_r0p1,train\M4_fourier4_amp4_net4x100_seen26_ic7500_pde115000\forward_pinn.pt,137598,0.13,55A87E7D6F6AF04C9A5BDC1AB78482559974125263546EDF72A7B2FB1218ABDC,False,,Manifest only
M5_amp4_r0p1,train\M5_fourier4_amp4_net4x100_seen102_ic7500_pde115000\forward_pinn.pt,142078,0.14,BD62D2239A1A149BFAC754DC875AEE4B5854790EF80066577637665D5FF795DB,False,,Manifest only
M6_amp4_r0p1,train\M6_fourier4_amp4_net4x100_seen410_ic7500_pde115000\forward_pinn.pt,162622,0.16,6119B2A8BBFD27EB912922C7B7989DDE42C0844B14471B26B063E0C410E5A406,False,,Manifest only
M7_amp4_r0p1,train\M7_fourier4_amp4_net4x100_seen1638_ic7500_pde115000\forward_pinn.pt,253886,0.24,63CDC52BEFAC9EF0E7DF01D23FF7C00CDFC1BCA0DD30D73030F0E66A5A5459C7,False,,Manifest only
M8_amp4_r0p1,train\M8_fourier4_amp4_net4x100_seen6554_ic7500_pde115000\forward_pinn.pt,662334,0.63,E39A8DEB8430C671DE0E513310A45B9AAFD9BC9A365D2E464530281AE00C3087,False,,Manifest only
universal_sparse8_K1to8_highK_try1,sparse8_forward_pinn.pt,294466,0.28,19ABAB0AB9CC613E66CBD1CA3C9AAEF1271FF1761D186A802E37AF8D46CC6ED2,False,,Manifest only
universal_sparse8_K1to8_highK_try1,direct_0to25_budget100_from20_earlystop\sparse8_forward_pinn.pt,294850,0.28,CBABD63AFC4DDF6105AF179BD18918F8A0E816BAF96D632AB46A1B0D92572DDC,False,,Manifest only
universal_sparse8_K1to8_highK_try1,direct_0to25_budget100_from20_full882\sparse8_forward_pinn.pt,295042,0.28,DE23024FAA5EE379627D94267863C3C328BB5F66834CD45E24E16D10F2A13E5B,False,,Manifest only
universal_sparse8_K1to8_highK_try1,direct_0to25_budget10_actual_from20\sparse8_forward_pinn.pt,294786,0.28,0D2C5C6F1CEC8D116851CDFE6FB0F054DEC85B4F3243BD75895C648D967985F3,False,,Manifest only
universal_sparse8_K1to8_highK_try1,direct_0to25_budget10_actual_scratch\sparse8_forward_pinn.pt,294722,0.28,CC8283E4ED09ED6E515CCA135BCC0DF3FF23611651A891E1B559DE7A61AC19F0,False,,Manifest only
universal_sparse8_K1to8_highK_try1,direct_0to25_budget10_from20\sparse8_forward_pinn.pt,294530,0.28,684926C22CBCD27F7662C2C2499835169B237F3827CDEC8EC803005B9A1F879C,False,,Manifest only
universal_sparse8_K1to8_highK_try1,direct_0to25_budget10_scratch\sparse8_forward_pinn.pt,294530,0.28,F67A4BE011D81F5F3BA18E3C261583E37107433351075C4C27C9148915910F6C,False,,Manifest only
universal_sparse8_K1to8_highK_try1,direct_0to25_budget25_actual_from20\sparse8_forward_pinn.pt,294786,0.28,E208A35CDBC9AEC62631955CFA27EBACCA6D38870CF1BFC680D86DEFA2BA0488,False,,Manifest only
universal_sparse8_K1to8_highK_try1,direct_0to25_budget25_actual_scratch\sparse8_forward_pinn.pt,294722,0.28,3C313507B4B6DF7E04E1A388ACBC30B5A60C5FDF58018C119F39FC9957CAD528,False,,Manifest only
universal_sparse8_K1to8_highK_try1,direct_0to25_budget25_from20\sparse8_forward_pinn.pt,294530,0.28,86C00D94553BA5DC377585800E046BB19537F903467C94093D0267C9E9976053,False,,Manifest only
universal_sparse8_K1to8_highK_try1,direct_0to25_budget25_scratch\sparse8_forward_pinn.pt,294530,0.28,54354275D9B28A3C18F81CBA4E307000A4490490463DBFC05C4636C611518624,False,,Manifest only
universal_sparse8_K1to8_highK_try1,universal_CNN_DDNN_full81\universal_CNN81\final\universal_cnn81.pt,196202,0.19,NOT_COMPUTED,False,,Manifest only
universal_sparse8_K1to8_highK_try1,universal_CNN_DDNN_full81\universal_CNN_baseline_inverse\final\baseline_universal_inverse_cnn.pt,1468906,1.4,NOT_COMPUTED,False,,Manifest only
universal_sparse8_K1to8_highK_try1,universal_CNN_DDNN_full81\universal_DDNN81_same_as_PINN\final\universal_ddnn81.pt,284866,0.27,NOT_COMPUTED,False,,Manifest only
universal_sparse8_K1to8_beta2_D081012_highK_transfer_from_original_v2_continue80k,sparse8_beta2_forward_pinn.pt,294498,0.28,67654CF9C600125B56D2E38F813B72761004AACD61B7C1A9F68F1D1E2A511391,False,,Manifest only
